productName,productGroup,productSubGroup,productSubGroupPrefix,productNameComputed,HamaliPerBag,PlatformCooliPerBag,KataCooliPerBag,MamulluPerBag,MonthlyRentPerBag,YearlyRentPerBag,Insurance,ProductGroup,YearlyRentPerKg,BagSize
Tamarind-Tita 30Kg Bags,Tamarind,Tita,Tamarind (Tita),Tamarind (Tita)30Kg Bags,9,4.23,5.1,3,9,37.5,0,Tamarind,1.25,30
Tamarind-Tita 40Kg Bags,Tamarind,Tita,Tamarind (Tita),Tamarind (Tita)40Kg Bags,12,5.64,10.4,5,12,50,0,Tamarind,1.25,40
Tamarind-Tita 50Kg Bags,Tamarind,Tita,Tamarind (Tita),Tamarind (Tita)50Kg Bags,15,7.05,10.4,5,15,62.5,0,Tamarind,1.25,50
Tamarind-Tita 5Kg Bags,Tamarind,Tita,Tamarind (Tita),Tamarind (Tita)5Kg Bags,1.5,0.75,0.8,0.5,1.5,6.25,0,Tamarind,1.25,5
Ulavalu 10Kg Bags,Ulavalu,Ulavalu,Ulavalu,Ulavalu10Kg Bags,3.5,1.21,1.73,1,6,15,0,Ulavalu,1.5,10
Ulavalu 20Kg Bags,Ulavalu,Ulavalu,Ulavalu,Ulavalu20Kg Bags,7,2.42,3.4,2,12,30,0,Ulavalu,1.5,20
Ulavalu 25Kg Bags,Ulavalu,Ulavalu,Ulavalu,Ulavalu25Kg Bags,8.75,3.03,4.25,2.5,15,40,0,Ulavalu,1.5,25
Ulavalu 30Kg Bags,Ulavalu,Ulavalu,Ulavalu,Ulavalu30Kg Bags,10.5,3.63,5.1,3,18,45,0,Ulavalu,1.5,30
Ulavalu 40Kg Bags,Ulavalu,Ulavalu,Ulavalu,Ulavalu50Kg Bags,17.50,6.06,10.4,5,30,60,0,Ulavalu,1.5,50
Ulavalu 50Kg Bags,Ulavalu,Ulavalu,Ulavalu,Ulavalu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Ulavalu,1.5,50
Veru Sanagalu 50Kg Bags,Veru Sanagalu,Ulavalu,Veru Sanagalu (Ulavalu),Veru Sanagalu (Ulavalu)50Kg Bags,17.50,6.06,10.4,5,30,75,0,Veru Sanagalu,1.5,50
