"deliveryId","lodgementId","Delivery Date","Lot Number","Delivered Bags","Balance Bags","Months Lodged","Total Charges Paid","Rent Receivable on Delivered Bags"
"6433da348a12e9ad0dd6b98e","643373178a12e9ad0d2fa454","23/10/2020","4892/739","50","485","0 Months","183","0"
"6433da348a12e9ad0dd6b98f","643373178a12e9ad0d2fa454","25/10/2020","4892/739","30","455","0 Months","110","0"
"6433da348a12e9ad0dd6b990","643373178a12e9ad0d2fa454","31/10/2020","4892/739","20","435","0 Months","73","0"
"6433da348a12e9ad0dd6b991","643373178a12e9ad0d2fa454","01/11/2020","4892/739","60","375","0 Months","220","0"
"6433da348a12e9ad0dd6b992","643373178a12e9ad0d2fa454","13/11/2020","4892/739","20","355","0 Months","73","0"
"6433da348a12e9ad0dd6b993","643373178a12e9ad0d2fa454","15/11/2020","4892/739","30","325","0 Months","110","0"
"6433da348a12e9ad0dd6b994","643373178a12e9ad0d2fa454","22/11/2020","4892/739","20","305","0 Months","73","0"
"6433da348a12e9ad0dd6b995","643373178a12e9ad0d2fa454","28/11/2020","4892/739","20","285","0 Months","73","0"
"6433da348a12e9ad0dd6b996","643373178a12e9ad0d2fa454","02/12/2020","4892/739","45","240","0 Months","169","0"
"6433da348a12e9ad0dd6b997","643373178a12e9ad0d2fa454","10/12/2020","4892/739","60","180","0 Months","219","0"
"6433da348a12e9ad0dd6b998","643373178a12e9ad0d2fa454","13/12/2020","4892/739","40","140","0 Months","146","0"
"6433da348a12e9ad0dd6b999","643373178a12e9ad0d2fa454","16/12/2020","4892/739","30","110","0 Months","109","0"
"6433da348a12e9ad0dd6b99a","643373178a12e9ad0d2fa454","21/12/2020","4892/739","20","90","0 Months","73","0"
"6433da348a12e9ad0dd6b99b","643373178a12e9ad0d2fa454","24/12/2020","4892/739","20","70","0 Months","73","0"
"6433da348a12e9ad0dd6b99c","643373178a12e9ad0d2fa454","27/12/2020","4892/739","50","20","0 Months","183","0"
"6433da348a12e9ad0dd6b99d","643373178a12e9ad0d2fa454","17/01/2021","4892/739","20","0","0 Months","73","0"
"6433da348a12e9ad0dd6b99e","643373178a12e9ad0d2fa455","15/05/2021","6503/44","2","42","0 Months","28","0"
"6433da348a12e9ad0dd6b99f","643373178a12e9ad0d2fa455","17/05/2021","6503/44","2","40","0 Months","28","0"
"6433da348a12e9ad0dd6b9a0","643373178a12e9ad0d2fa455","28/05/2021","6503/44","1","39","0 Months","14","0"
"6433da348a12e9ad0dd6b9a1","643373178a12e9ad0d2fa455","18/06/2021","6503/44","2","37","0 Months","30","0"
"6433da348a12e9ad0dd6b9a2","643373178a12e9ad0d2fa455","30/06/2021","6503/44","2","35","0 Months","30","0"
"6433da348a12e9ad0dd6b9a3","643373178a12e9ad0d2fa455","07/07/2021","6503/44","2","33","0 Months","30","0"
"6433da348a12e9ad0dd6b9a4","643373178a12e9ad0d2fa455","09/08/2021","6503/44","1","32","0 Months","25","0"
"6433da348a12e9ad0dd6b9a5","643373178a12e9ad0d2fa455","26/08/2021","6503/44","1","31","0 Months","15","0"
"6433da348a12e9ad0dd6b9a6","643373178a12e9ad0d2fa455","20/09/2021","6503/44","2","29","0 Months","30","0"
"6433da348a12e9ad0dd6b9a7","643373178a12e9ad0d2fa455","26/09/2021","6503/44","2","27","0 Months","30","0"
"6433da348a12e9ad0dd6b9a8","643373178a12e9ad0d2fa455","11/10/2021","6503/44","2","25","0 Months","25","0"
"6433da348a12e9ad0dd6b9a9","643373178a12e9ad0d2fa455","29/11/2021","6503/44","2","23","0 Months","30","0"
"6433da348a12e9ad0dd6b9aa","643373178a12e9ad0d2fa455","27/12/2021","6503/44","2","21","0 Months","30","0"
"6433da348a12e9ad0dd6b9ab","643373178a12e9ad0d2fa455","06/01/2022","6503/44","2","19","0 Months","30","0"
"6433da348a12e9ad0dd6b9ac","643373178a12e9ad0d2fa455","10/01/2022","6503/44","2","17","0 Months","30","0"
"6433da348a12e9ad0dd6b9ad","643373178a12e9ad0d2fa455","24/01/2022","6503/44","4","13","0 Months","60","0"
"6433da348a12e9ad0dd6b9ae","643373178a12e9ad0d2fa455","06/02/2022","6503/44","5","8","0 Months","70","0"
"6433da348a12e9ad0dd6b9af","643373178a12e9ad0d2fa455","14/02/2022","6503/44","2","6","0 Months","30","0"
"6433da348a12e9ad0dd6b9b0","643373178a12e9ad0d2fa455","28/02/2022","6503/44","4","2","0 Months","55","0"
"6433da348a12e9ad0dd6b9b1","643373178a12e9ad0d2fa455","25/03/2022","6503/44","2","0","0 Months","28","0"
"6433da348a12e9ad0dd6b9b2","643373178a12e9ad0d2fa456","23/04/2021","6720/409","3","406","0 Months","34","0"
"6433da348a12e9ad0dd6b9b3","643373178a12e9ad0d2fa456","25/04/2021","6720/409","5","401","0 Months","56","0"
"6433da348a12e9ad0dd6b9b4","643373178a12e9ad0d2fa456","26/04/2021","6720/409","5","396","0 Months","56","0"
"6433da348a12e9ad0dd6b9b5","643373178a12e9ad0d2fa456","29/04/2021","6720/409","4","392","0 Months","46","0"
"6433da348a12e9ad0dd6b9b6","643373178a12e9ad0d2fa456","07/05/2021","6720/409","7","385","0 Months","80","0"
"6433da348a12e9ad0dd6b9b7","643373178a12e9ad0d2fa456","09/05/2021","6720/409","10","375","0 Months","114","0"
"6433da348a12e9ad0dd6b9b8","643373178a12e9ad0d2fa456","15/05/2021","6720/409","10","365","0 Months","114","0"
"6433da348a12e9ad0dd6b9b9","643373178a12e9ad0d2fa456","29/05/2021","6720/409","3","362","0 Months","34","0"
"6433da348a12e9ad0dd6b9ba","643373178a12e9ad0d2fa456","03/06/2021","6720/409","3","359","0 Months","33","0"
"6433da348a12e9ad0dd6b9bb","643373178a12e9ad0d2fa456","05/06/2021","6720/409","5","354","0 Months","56","0"
"6433da348a12e9ad0dd6b9bc","643373178a12e9ad0d2fa456","09/06/2021","6720/409","5","349","0 Months","55","0"
"6433da348a12e9ad0dd6b9bd","643373178a12e9ad0d2fa456","16/06/2021","6720/409","5","344","0 Months","60","0"
"6433da348a12e9ad0dd6b9be","643373178a12e9ad0d2fa456","23/06/2021","6720/409","3","341","0 Months","35","0"
"6433da348a12e9ad0dd6b9bf","643373178a12e9ad0d2fa456","26/06/2021","6720/409","8","333","0 Months","90","0"
"6433da348a12e9ad0dd6b9c0","643373178a12e9ad0d2fa456","30/06/2021","6720/409","4","329","0 Months","45","0"
"6433da348a12e9ad0dd6b9c1","643373178a12e9ad0d2fa456","11/07/2021","6720/409","8","321","0 Months","90","0"
"6433da348a12e9ad0dd6b9c2","643373178a12e9ad0d2fa456","15/07/2021","6720/409","5","316","0 Months","55","0"
"6433da348a12e9ad0dd6b9c3","643373178a12e9ad0d2fa456","21/07/2021","6720/409","5","311","0 Months","55","0"
"6433da348a12e9ad0dd6b9c4","643373178a12e9ad0d2fa456","25/07/2021","6720/409","3","308","0 Months","35","0"
"6433da348a12e9ad0dd6b9c5","643373178a12e9ad0d2fa456","05/08/2021","6720/409","2","306","0 Months","20","0"
"6433da348a12e9ad0dd6b9c6","643373178a12e9ad0d2fa456","08/08/2021","6720/409","3","303","0 Months","35","0"
"6433da348a12e9ad0dd6b9c7","643373178a12e9ad0d2fa456","11/08/2021","6720/409","3","300","0 Months","35","0"
"6433da348a12e9ad0dd6b9c8","643373178a12e9ad0d2fa456","13/08/2021","6720/409","5","295","0 Months","55","0"
"6433da348a12e9ad0dd6b9c9","643373178a12e9ad0d2fa456","16/08/2021","6720/409","5","290","0 Months","55","0"
"6433da348a12e9ad0dd6b9ca","643373178a12e9ad0d2fa456","19/08/2021","6720/409","5","285","0 Months","55","0"
"6433da348a12e9ad0dd6b9cb","643373178a12e9ad0d2fa456","25/08/2021","6720/409","5","280","0 Months","55","0"
"6433da348a12e9ad0dd6b9cc","643373178a12e9ad0d2fa456","26/08/2021","6720/409","3","277","0 Months","35","0"
"6433da348a12e9ad0dd6b9cd","643373178a12e9ad0d2fa456","02/09/2021","6720/409","3","274","0 Months","35","0"
"6433da348a12e9ad0dd6b9ce","643373178a12e9ad0d2fa456","03/09/2021","6720/409","3","271","0 Months","30","0"
"6433da348a12e9ad0dd6b9cf","643373178a12e9ad0d2fa456","04/09/2021","6720/409","5","266","0 Months","55","0"
"6433da348a12e9ad0dd6b9d0","643373178a12e9ad0d2fa456","08/09/2021","6720/409","5","261","0 Months","55","0"
"6433da348a12e9ad0dd6b9d1","643373178a12e9ad0d2fa456","11/09/2021","6720/409","6","255","0 Months","70","0"
"6433da348a12e9ad0dd6b9d2","643373178a12e9ad0d2fa456","15/09/2021","6720/409","6","249","0 Months","70","0"
"6433da348a12e9ad0dd6b9d3","643373178a12e9ad0d2fa456","17/09/2021","6720/409","3","246","0 Months","35","0"
"6433da348a12e9ad0dd6b9d4","643373178a12e9ad0d2fa456","19/09/2021","6720/409","3","243","0 Months","35","0"
"6433da348a12e9ad0dd6b9d5","643373178a12e9ad0d2fa456","22/09/2021","6720/409","5","238","0 Months","55","0"
"6433da348a12e9ad0dd6b9d6","643373178a12e9ad0d2fa456","24/09/2021","6720/409","3","235","0 Months","35","0"
"6433da348a12e9ad0dd6b9d7","643373178a12e9ad0d2fa456","25/09/2021","6720/409","3","232","0 Months","35","0"
"6433da348a12e9ad0dd6b9d8","643373178a12e9ad0d2fa456","03/10/2021","6720/409","5","227","0 Months","55","0"
"6433da348a12e9ad0dd6b9d9","643373178a12e9ad0d2fa456","06/10/2021","6720/409","5","222","0 Months","55","0"
"6433da348a12e9ad0dd6b9da","643373178a12e9ad0d2fa456","06/10/2021","6720/409","4","218","0 Months","45","0"
"6433da348a12e9ad0dd6b9db","643373178a12e9ad0d2fa456","10/10/2021","6720/409","6","212","0 Months","65","0"
"6433da348a12e9ad0dd6b9dc","643373178a12e9ad0d2fa456","13/10/2021","6720/409","5","207","0 Months","55","0"
"6433da348a12e9ad0dd6b9dd","643373178a12e9ad0d2fa456","18/10/2021","6720/409","3","204","0 Months","40","0"
"6433da348a12e9ad0dd6b9de","643373178a12e9ad0d2fa456","20/10/2021","6720/409","4","200","0 Months","45","0"
"6433da348a12e9ad0dd6b9df","643373178a12e9ad0d2fa456","23/10/2021","6720/409","8","192","0 Months","90","0"
"6433da348a12e9ad0dd6b9e0","643373178a12e9ad0d2fa456","27/10/2021","6720/409","5","187","0 Months","55","0"
"6433da348a12e9ad0dd6b9e1","643373178a12e9ad0d2fa456","29/10/2021","6720/409","4","183","0 Months","45","0"
"6433da348a12e9ad0dd6b9e2","643373178a12e9ad0d2fa456","25/11/2021","6720/409","6","177","0 Months","70","0"
"6433da348a12e9ad0dd6b9e3","643373178a12e9ad0d2fa456","23/01/2022","6720/409","10","167","0 Months","110","0"
"6433da348a12e9ad0dd6b9e4","643373178a12e9ad0d2fa456","28/01/2022","6720/409","10","157","0 Months","115","0"
"6433da348a12e9ad0dd6b9e5","643373178a12e9ad0d2fa456","30/01/2022","6720/409","5","152","0 Months","55","0"
"6433da348a12e9ad0dd6b9e6","643373178a12e9ad0d2fa456","02/02/2022","6720/409","6","146","0 Months","70","0"
"6433da348a12e9ad0dd6b9e7","643373178a12e9ad0d2fa456","05/02/2022","6720/409","6","140","0 Months","70","0"
"6433da348a12e9ad0dd6b9e8","643373178a12e9ad0d2fa456","10/02/2022","6720/409","6","134","0 Months","70","0"
"6433da348a12e9ad0dd6b9e9","643373178a12e9ad0d2fa456","13/02/2022","6720/409","12","122","0 Months","135","0"
"6433da348a12e9ad0dd6b9ea","643373178a12e9ad0d2fa456","19/02/2022","6720/409","12","110","0 Months","130","0"
"6433da348a12e9ad0dd6b9eb","643373178a12e9ad0d2fa456","26/02/2022","6720/409","10","100","0 Months","110","0"
"6433da348a12e9ad0dd6b9ec","643373178a12e9ad0d2fa456","05/03/2022","6720/409","10","90","0 Months","114","0"
"6433da348a12e9ad0dd6b9ed","643373178a12e9ad0d2fa456","10/03/2022","6720/409","5","85","0 Months","55","0"
